
Boot-time: Wed, 28 Sep 2022 19:00:12 +0000
Boot-time: Wed, 28 Sep 2022 19:06:28 +0000
Boot-time: Wed, 28 Sep 2022 19:08:19 +0000
Shutdown: Wed, 28 Sep 2022 19:08:44 +0000
Boot-time: Wed, 28 Sep 2022 20:15:56 +0000
Boot-time: Wed, 28 Sep 2022 20:16:50 +0000
Boot-time: Wed, 28 Sep 2022 20:17:31 +0000
Boot-time: Wed, 28 Sep 2022 20:18:16 +0000
Boot-time: Wed, 28 Sep 2022 20:19:29 +0000
Boot-time: Wed, 28 Sep 2022 20:35:14 +0000
Shutdown: Wed, 28 Sep 2022 20:41:09 +0000
Boot-time: Wed, 28 Sep 2022 20:41:10 +0000
Boot-time: Wed, 28 Sep 2022 20:44:29 +0000
Shutdown: Wed, 28 Sep 2022 20:45:29 +0000
Boot-time: Wed, 28 Sep 2022 20:47:07 +0000
Shutdown: Wed, 28 Sep 2022 20:47:57 +0000
Boot-time: Wed, 28 Sep 2022 20:47:57 +0000
Shutdown: Wed, 28 Sep 2022 20:49:27 +0000
Boot-time: Wed, 28 Sep 2022 20:49:28 +0000
Shutdown: Wed, 28 Sep 2022 20:50:53 +0000
Boot-time: Wed, 28 Sep 2022 20:50:53 +0000
Shutdown: Wed, 28 Sep 2022 20:51:43 +0000
Boot-time: Wed, 28 Sep 2022 20:51:44 +0000
Boot-time: Wed, 28 Sep 2022 20:52:35 +0000
Shutdown: Wed, 28 Sep 2022 20:53:25 +0000
Boot-time: Wed, 28 Sep 2022 20:56:06 +0000
Boot-time: Wed, 28 Sep 2022 21:09:37 +0000
Shutdown: Wed, 28 Sep 2022 21:10:27 +0000
Boot-time: Wed, 28 Sep 2022 21:14:36 +0000
Boot-time: Wed, 28 Sep 2022 21:18:09 +0000
Boot-time: Wed, 28 Sep 2022 21:21:12 +0000
Shutdown: Wed, 28 Sep 2022 21:23:17 +0000
Boot-time: Wed, 28 Sep 2022 21:25:59 +0000
Boot-time: Wed, 28 Sep 2022 21:31:06 +0000
Shutdown: Wed, 28 Sep 2022 21:34:51 +0000
Boot-time: Wed, 28 Sep 2022 21:39:20 +0000
Shutdown: Wed, 28 Sep 2022 21:43:06 +0000
Boot-time: Wed, 28 Sep 2022 21:43:22 +0000
Shutdown: Wed, 28 Sep 2022 21:51:41 +0000
Boot-time: Wed, 28 Sep 2022 21:51:42 +0000
Boot-time: Wed, 28 Sep 2022 21:51:56 +0000
Boot-time: Wed, 28 Sep 2022 21:57:01 +0000
Boot-time: Wed, 28 Sep 2022 22:00:46 +0000
Shutdown: Thu, 29 Sep 2022 05:23:00 +0000
Boot-time: Thu, 29 Sep 2022 05:23:01 +0000
Boot-time: Thu, 29 Sep 2022 05:23:17 +0000
Shutdown: Thu, 29 Sep 2022 07:18:52 +0000
Boot-time: Thu, 29 Sep 2022 07:18:53 +0000
Boot-time: Thu, 29 Sep 2022 07:19:07 +0000
Boot-time: Thu, 29 Sep 2022 19:50:40 +0000
Boot-time: Thu, 29 Sep 2022 19:51:24 +0000
Boot-time: Thu, 29 Sep 2022 19:55:52 +0000
